Episode: 71, Total Reward: 372.5, Max Tile: 128, Steps: 154, Epsilon: 0.931
Episode: 72, Total Reward: 209.8, Max Tile: 64, Steps: 95, Epsilon: 0.930
Episode: 73, Total Reward: 188.5, Max Tile: 64, Steps: 84, Epsilon: 0.930
Episode: 74, Total Reward: 216.5, Max Tile: 64, Steps: 99, Epsilon: 0.929
Episode: 75, Total Reward: 329.6, Max Tile: 128, Steps: 138, Epsilon: 0.928
Episode: 76, Total Reward: 213.9, Max Tile: 128, Steps: 89, Epsilon: 0.927
Episode: 77, Total Reward: 217.8, Max Tile: 64, Steps: 92, Epsilon: 0.926
Episode: 78, Total Reward: 310.7, Max Tile: 128, Steps: 131, Epsilon: 0.925
Episode: 79, Total Reward: 59.1, Max Tile: 16, Steps: 35, Epsilon: 0.924
Episode: 80, Total Reward: 382.6, Max Tile: 128, Steps: 159, Epsilon: 0.923
Episode: 81, Total Reward: 198.0, Max Tile: 64, Steps: 88, Epsilon: 0.922
Episode: 82, Total Reward: 179.5, Max Tile: 64, Steps: 83, Epsilon: 0.921
Episode: 83, Total Reward: 232.8, Max Tile: 64, Steps: 101, Epsilon: 0.920
Episode: 84, Total Reward: 239.7, Max Tile: 64, Steps: 101, Epsilon: 0.919
Episode: 85, Total Reward: 269.1, Max Tile: 128, Steps: 113, Epsilon: 0.918
Episode: 86, Total Reward: 193.1, Max Tile: 64, Steps: 83, Epsilon: 0.918
Episode: 87, Total Reward: 340.3, Max Tile: 128, Steps: 140, Epsilon: 0.917
Episode: 88, Total Reward: 241.8, Max Tile: 64, Steps: 106, Epsilon: 0.916
Episode: 89, Total Reward: 364.8, Max Tile: 128, Steps: 156, Epsilon: 0.915
Episode: 90, Total Reward: 261.2, Max Tile: 128, Steps: 110, Epsilon: 0.914
Episode: 91, Total Reward: 229.5, Max Tile: 64, Steps: 103, Epsilon: 0.913
Episode: 92, Total Reward: 430.7, Max Tile: 256, Steps: 172, Epsilon: 0.912
Episode: 93, Total Reward: 118.6, Max Tile: 32, Steps: 57, Epsilon: 0.911
Episode: 94, Total Reward: 212.6, Max Tile: 64, Steps: 87, Epsilon: 0.910
Episode: 95, Total Reward: 354.2, Max Tile: 128, Steps: 148, Epsilon: 0.909
Episode: 96, Total Reward: 555.6, Max Tile: 256, Steps: 221, Epsilon: 0.908
Episode: 97, Total Reward: 255.2, Max Tile: 64, Steps: 109, Epsilon: 0.908
Episode: 98, Total Reward: 260.8, Max Tile: 64, Steps: 111, Epsilon: 0.907
Episode: 99, Total Reward: 181.7, Max Tile: 64, Steps: 81, Epsilon: 0.906
Episode: 100, Total Reward: 261.4, Max Tile: 128, Steps: 112, Epsilon: 0.905
Episode: 101, Total Reward: 221.6, Max Tile: 64, Steps: 96, Epsilon: 0.904
Episode: 102, Total Reward: 246.4, Max Tile: 64, Steps: 107, Epsilon: 0.903
Episode: 103, Total Reward: 191.7, Max Tile: 64, Steps: 86, Epsilon: 0.902
Episode: 104, Total Reward: 159.0, Max Tile: 64, Steps: 73, Epsilon: 0.901
Episode: 105, Total Reward: 483.0, Max Tile: 256, Steps: 193, Epsilon: 0.900
Episode: 106, Total Reward: 228.7, Max Tile: 64, Steps: 97, Epsilon: 0.899
Episode: 107, Total Reward: 122.3, Max Tile: 32, Steps: 61, Epsilon: 0.898
Episode: 108, Total Reward: 294.2, Max Tile: 128, Steps: 126, Epsilon: 0.898
Episode: 109, Total Reward: 446.5, Max Tile: 256, Steps: 171, Epsilon: 0.897
Episode: 110, Total Reward: 170.6, Max Tile: 64, Steps: 74, Epsilon: 0.896
Episode: 111, Total Reward: 193.8, Max Tile: 64, Steps: 85, Epsilon: 0.895
Episode: 112, Total Reward: 278.7, Max Tile: 128, Steps: 117, Epsilon: 0.894
Episode: 113, Total Reward: 248.1, Max Tile: 64, Steps: 107, Epsilon: 0.893
Episode: 114, Total Reward: 199.4, Max Tile: 64, Steps: 94, Epsilon: 0.892
Episode: 115, Total Reward: 287.7, Max Tile: 128, Steps: 123, Epsilon: 0.891
Episode: 116, Total Reward: 181.9, Max Tile: 64, Steps: 82, Epsilon: 0.890
Episode: 117, Total Reward: 188.8, Max Tile: 64, Steps: 87, Epsilon: 0.890
Episode: 118, Total Reward: 430.1, Max Tile: 256, Steps: 170, Epsilon: 0.889
Episode: 119, Total Reward: 179.2, Max Tile: 64, Steps: 81, Epsilon: 0.888
Episode: 120, Total Reward: 174.6, Max Tile: 64, Steps: 82, Epsilon: 0.887
Episode: 121, Total Reward: 261.4, Max Tile: 128, Steps: 112, Epsilon: 0.886
Episode: 122, Total Reward: 175.2, Max Tile: 64, Steps: 80, Epsilon: 0.885
Episode: 123, Total Reward: 335.9, Max Tile: 128, Steps: 140, Epsilon: 0.884
Episode: 124, Total Reward: 307.1, Max Tile: 128, Steps: 129, Epsilon: 0.883
Episode: 125, Total Reward: 223.2, Max Tile: 64, Steps: 109, Epsilon: 0.882
Episode: 126, Total Reward: 225.6, Max Tile: 64, Steps: 99, Epsilon: 0.882
Episode: 127, Total Reward: 186.1, Max Tile: 64, Steps: 81, Epsilon: 0.881
Episode: 128, Total Reward: 326.3, Max Tile: 128, Steps: 132, Epsilon: 0.880
Episode: 129, Total Reward: 221.3, Max Tile: 64, Steps: 98, Epsilon: 0.879
Episode: 130, Total Reward: 366.8, Max Tile: 128, Steps: 151, Epsilon: 0.878
Episode: 131, Total Reward: 304.5, Max Tile: 128, Steps: 128, Epsilon: 0.877
Episode: 132, Total Reward: 246.6, Max Tile: 64, Steps: 103, Epsilon: 0.876
Episode: 133, Total Reward: 155.6, Max Tile: 64, Steps: 68, Epsilon: 0.875
Episode: 134, Total Reward: 231.5, Max Tile: 64, Steps: 101, Epsilon: 0.875
Episode: 135, Total Reward: 157.2, Max Tile: 32, Steps: 72, Epsilon: 0.874
Episode: 136, Total Reward: 281.8, Max Tile: 128, Steps: 124, Epsilon: 0.873
Episode: 137, Total Reward: 230.5, Max Tile: 64, Steps: 97, Epsilon: 0.872
Episode: 138, Total Reward: 386.5, Max Tile: 128, Steps: 154, Epsilon: 0.871
Episode: 139, Total Reward: 362.0, Max Tile: 128, Steps: 152, Epsilon: 0.870
Episode: 140, Total Reward: 286.7, Max Tile: 128, Steps: 118, Epsilon: 0.869
Episode: 141, Total Reward: 266.0, Max Tile: 128, Steps: 111, Epsilon: 0.868
Episode: 142, Total Reward: 251.0, Max Tile: 128, Steps: 101, Epsilon: 0.868
Episode: 143, Total Reward: 309.6, Max Tile: 128, Steps: 126, Epsilon: 0.867
Episode: 144, Total Reward: 202.6, Max Tile: 64, Steps: 90, Epsilon: 0.866
Episode: 145, Total Reward: 383.2, Max Tile: 256, Steps: 154, Epsilon: 0.865
